name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Trincomalee, Sri Lanka",2015-02-10,29.7,23.9,25.9,35.5,23.9,26.8,23.6,87.4,52,100,8.33,rain,0,0,28.4,18.7,52.4,1012.7,77.5,17.5,161.4,13.8,7,,2015-02-10T06:24:48,2015-02-10T18:13:58,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-11,28.2,23.9,25.4,33.3,23.9,26.2,23.5,89.5,19.2,100,12.5,rain,0,0,29.5,17.3,40.5,1011.9,71.8,18.8,210.9,18.1,8,,2015-02-11T06:24:36,2015-02-11T18:14:11,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-12,29.1,23.9,25.9,34.5,23.9,26.9,23.6,87.4,0.7,100,4.17,rain,0,0,28.8,15.5,39,1011.7,45.6,20,205.7,17.9,7,,2015-02-12T06:24:24,2015-02-12T18:14:24,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-13,30.2,24.9,26.4,35.2,24.9,27.6,23.6,84.9,1.8,100,58.33,rain,0,0,24.1,14.4,55.7,1011.9,48.8,20,204.1,17.7,7,,2015-02-13T06:24:11,2015-02-13T18:14:35,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-14,30.4,25.1,26.7,36,25.1,28.1,22.9,80.1,0,0,0,,0,0,26.6,15.5,70.2,1011.4,51.1,20,264,22.9,9,,2015-02-14T06:23:56,2015-02-14T18:14:46,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-15,29.7,23.9,25.9,31.6,23.9,26.3,20.1,71.1,0,0,0,,0,0,24.8,13.7,80,1011.7,15.9,20,276.2,23.9,9,,2015-02-15T06:23:41,2015-02-15T18:14:57,0.88,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-16,29.9,23.4,25.9,32.8,23.4,26.4,20.2,71,0,0,0,,0,0,28.4,15.1,72.6,1012.6,40.6,20,280.4,24.2,9,,2015-02-16T06:23:26,2015-02-16T18:15:06,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-17,29.7,21.7,25.7,31,21.7,26,19.5,69,0,0,0,,0,0,28.1,15.1,50.9,1012.6,57.6,20,271.1,23.3,9,,2015-02-17T06:23:09,2015-02-17T18:15:15,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-18,29.2,21.7,25.5,30.9,21.7,26,19.3,69.1,0,0,0,,0,0,23,13.7,56.1,1012.2,74.9,20,263.7,22.8,9,,2015-02-18T06:22:51,2015-02-18T18:15:24,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-19,29.4,23.5,25.9,31.8,23.5,26.4,19.8,69.7,0,0,0,,0,0,22,13.3,77.4,1011.6,45.6,20,277.6,24,9,,2015-02-19T06:22:33,2015-02-19T18:15:32,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-20,30.1,22.1,26.4,33.9,22.1,27.3,20.7,71.2,0,0,0,,0,0,30.6,18.7,60.9,1011.5,34.3,20,253.3,21.9,9,,2015-02-20T06:22:14,2015-02-20T18:15:39,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-21,30.4,25.1,26.8,33.6,25.1,27.8,21.3,71.8,0.6,100,20.83,rain,0,0,38.2,22.7,41.1,1011.7,28.1,20,263.9,22.7,9,,2015-02-21T06:21:54,2015-02-21T18:15:46,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-22,30.2,25,26.9,33.8,25,27.9,21.9,74.7,0.9,100,33.33,rain,0,0,33.5,19.8,43.6,1012,30,20,234.8,20.3,8,,2015-02-22T06:21:34,2015-02-22T18:15:52,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-23,30.2,25.9,26.8,34.2,25.9,27.6,22.3,76.7,2.3,100,41.67,rain,0,0,29.2,18,47.3,1012.2,69.6,20,149.9,12.8,7,,2015-02-23T06:21:12,2015-02-23T18:15:58,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-24,26.9,23.6,25.4,30.2,23.6,25.5,23.4,88.8,25.1,100,20.83,rain,0,0,29.9,16.6,64.9,1011.4,70.3,16.3,181,15.7,6,,2015-02-24T06:20:51,2015-02-24T18:16:03,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-25,29.2,23.1,26.1,34.4,23.1,27.4,23.6,86.3,15.2,100,8.33,rain,0,0,23.4,13.3,79.9,1010.4,58.6,18.8,225.6,19.6,8,,2015-02-25T06:20:28,2015-02-25T18:16:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-26,30.2,24.2,26.6,36.6,24.2,28,23.7,84.6,6.3,100,41.67,rain,0,0,24.8,14.8,115.7,1009.5,68,20,204.2,17.7,8,,2015-02-26T06:20:05,2015-02-26T18:16:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-27,31.7,24.5,26.7,37.3,24.5,28.4,23.7,84.2,2.5,100,33.33,rain,0,0,22.7,14.4,122.8,1010,67.8,20,248.3,21.4,9,,2015-02-27T06:19:41,2015-02-27T18:16:14,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-02-28,30.4,22.2,26.7,36.3,22.2,28.8,23.5,83.1,0.7,100,29.17,rain,0,0,24.8,16.2,123.9,1010.4,30.7,20,247.1,21.4,8,,2015-02-28T06:19:16,2015-02-28T18:16:17,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-01,30.7,24.9,27.2,37,24.9,29.4,23.9,82.5,1.8,100,66.67,rain,0,0,28.8,17.6,112,1010.7,36.2,20,242.4,20.9,8,,2015-03-01T06:18:51,2015-03-01T18:16:20,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-02,31.2,25.7,27.5,37.5,25.7,29.5,22.9,76.4,0,0,0,,0,0,27,15.8,84.7,1011.6,22.4,20,261.3,22.5,9,,2015-03-02T06:18:26,2015-03-02T18:16:22,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-03,30.9,24.7,27.6,35.8,24.7,29.9,23,76.6,0,0,0,,0,0,19.8,11.9,87,1011.3,20.5,20,263.8,22.8,9,,2015-03-03T06:17:59,2015-03-03T18:16:24,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-04,32.2,24.4,27.1,40.6,24.4,29.4,24.2,84.4,1,100,29.17,rain,0,0,25.6,15.1,140.8,1011.2,38.7,20,245.2,21.1,8,,2015-03-04T06:17:33,2015-03-04T18:16:25,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-05,31.6,23.2,27.3,39,23.2,30.1,23.9,82,0.4,100,12.5,rain,0,0,30.2,17.3,98.2,1011.6,27.5,20,259.6,22.3,9,,2015-03-05T06:17:06,2015-03-05T18:16:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-06,30.9,26.5,28,36.5,26.5,31.1,23.7,77.5,0.4,100,12.5,rain,0,0,28.8,16.2,75.3,1012.5,27.3,20,270.7,23.4,9,,2015-03-06T06:16:38,2015-03-06T18:16:26,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-07,30.7,25.2,27.5,34.4,25.2,29.2,22.6,75.1,0,0,0,,0,0,28.4,16.9,69.6,1012.6,30.4,20,281.9,24.2,10,,2015-03-07T06:16:10,2015-03-07T18:16:26,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-08,31.7,24.9,27.9,37.6,24.9,30,22.1,71.2,0,0,0,,0,0,27.4,37.1,86.9,1013.1,38.8,20.8,275.4,23.7,9,,2015-03-08T06:15:41,2015-03-08T18:16:25,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-09,31.2,26,27.7,36,26,29.7,22,71.5,0.1,100,4.17,rain,0,0,28.8,16.6,62.5,1013.6,56,20,259.3,22.2,8,,2015-03-09T06:15:12,2015-03-09T18:16:25,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-10,31.1,25.2,27.1,33.9,25.2,28.1,21.4,71.6,0,0,0,,0,0,24.5,15.5,44.5,1013.4,35.3,17.5,272.3,23.5,9,,2015-03-10T06:14:43,2015-03-10T18:16:24,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-11,29.2,23.2,27.3,32.4,23.2,28.8,21.1,69.1,0,0,0,,0,0,29.2,16.9,55.5,1013,61.4,20,248.4,21.3,8,,2015-03-11T06:14:13,2015-03-11T18:16:22,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-12,30.7,25.8,27.4,36.3,25.8,29.7,23.3,78.9,0.5,100,4.17,rain,0,0,33.5,19.4,60.2,1012.3,69.2,20,216.3,18.8,8,,2015-03-12T06:13:43,2015-03-12T18:16:20,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-13,31.2,26.2,27.3,36.3,26.2,29.4,23.7,80.7,5.3,100,66.67,rain,0,0,33.1,20.2,80.9,1012.5,85.8,20,184.4,15.9,8,,2015-03-13T06:13:13,2015-03-13T18:16:19,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-14,31.2,24.4,26.2,37.4,24.4,27,24,88,0.3,100,4.17,rain,0,0,32,16.6,114.7,1013.7,87.3,20,161.8,13.9,7,,2015-03-14T06:12:42,2015-03-14T18:16:16,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-15,29.7,24.4,26.7,34.8,24.4,28.5,24.1,86.1,4.4,100,12.5,rain,0,0,32,17.6,106.4,1013.7,65.3,20,252.5,21.8,8,,2015-03-15T06:12:11,2015-03-15T18:16:14,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-16,30.9,25.2,27.6,37.3,25.2,30.2,23.7,79.9,9,100,4.17,rain,0,0,32.8,19.8,88.5,1013.5,32.2,20,259,22.2,9,,2015-03-16T06:11:40,2015-03-16T18:16:11,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-17,30.9,25.9,27.7,36.2,25.9,29.9,22.8,75.2,0.1,100,4.17,rain,0,0,32.8,19.1,66.3,1012.5,28.5,20,263.2,22.9,9,,2015-03-17T06:11:09,2015-03-17T18:16:08,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-18,31.2,22.9,26.6,35.8,22.9,27.6,21.9,76.2,0,0,0,,0,0,20.2,11.5,86.9,1011.4,41,20,308.7,26.7,10,,2015-03-18T06:10:37,2015-03-18T18:16:05,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-19,30.7,21.9,26.1,35.6,21.9,27.2,22.1,79.3,0,0,0,,0,0,22.3,12.6,125.6,1011.4,4,20,310.3,26.7,10,,2015-03-19T06:10:05,2015-03-19T18:16:02,0.96,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-20,31.1,22.7,27,35.7,22.7,28.5,22,74.7,0,0,0,,0,0,21.6,11.5,87.4,1012.2,19.2,20,287.5,24.7,10,,2015-03-20T06:09:33,2015-03-20T18:15:59,0,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Trincomalee, Sri Lanka",2015-03-21,31.1,24.4,27.4,35.6,24.4,29.2,22.9,77,0,0,0,,0,0,24.5,13.7,70,1012.7,13.4,20,294,25.3,10,,2015-03-21T06:09:01,2015-03-21T18:15:55,0.03,Clear,Clear conditions throughout the day.,clear-day,"remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-10,30,22.9,25.6,33.6,22.9,26.7,23.3,87.5,62.61,100,16.67,rain,0,0,33.1,15.8,53.9,1013.1,75.2,19.7,166.8,14.5,7,,2015-02-10T06:27:53,2015-02-10T18:16:41,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-11,29.3,23,25.7,34.1,23,26.9,23.4,87.7,9.2,100,12.5,rain,0,0,33.1,13.7,48.3,1012.6,62.4,19.7,188,16.2,7,,2015-02-11T06:27:41,2015-02-11T18:16:54,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-12,30.2,22.5,26,35.4,22.5,27.6,23.4,86.3,1.998,100,4.17,rain,0,0,29.2,13.3,45.8,1012.1,50.6,20,186.3,16.2,7,,2015-02-12T06:27:29,2015-02-12T18:17:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-13,31.1,23.2,26.4,35.2,23.2,28,23.6,85.6,0.001,100,4.17,rain,0,0,26.6,12.2,57.1,1011.7,56.6,20,186.4,16.1,8,,2015-02-13T06:27:15,2015-02-13T18:17:19,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-14,31.3,22.3,26.2,34.9,22.3,27.3,22.4,81.3,0,0,0,,0,0,28.1,13.3,70,1011.6,49.8,20,255,22,9,,2015-02-14T06:27:01,2015-02-14T18:17:30,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-15,31.1,19.5,25,32.1,19.5,25.5,20.1,76.4,0,0,0,,0,0,29.9,14,80.2,1011.9,17.1,20,289.4,25.1,10,,2015-02-15T06:26:45,2015-02-15T18:17:41,0.88,Clear,Clear conditions throughout the day.,clear-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-16,30.8,19.2,24.6,31.5,19.2,25.1,19.7,76.5,0,0,0,,0,0,33.1,14.4,74.3,1012.9,29.9,20,283,24.6,9,,2015-02-16T06:26:29,2015-02-16T18:17:51,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-17,30.6,19.6,24.5,31.2,19.6,25,19.8,77.1,0,0,0,,0,0,29.5,13.3,63.5,1012.9,58.5,20,270,23.4,9,,2015-02-17T06:26:12,2015-02-17T18:18:00,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-18,30.4,18.7,24.4,31,18.7,24.7,18.8,73.4,0,0,0,,0,0,28.8,12.2,80.1,1012.5,71,20,282.1,24.5,10,,2015-02-18T06:25:54,2015-02-18T18:18:09,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-19,30.3,18.1,24.4,31.5,18.1,25,19.6,76.3,0,0,0,,0,0,25.6,10.4,72.8,1011.8,48.6,20,277,23.8,9,,2015-02-19T06:25:36,2015-02-19T18:18:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-20,30.8,18.4,25.1,33.3,18.4,25.8,20,74.9,0,0,0,,0,0,32.8,14,68.5,1011.8,13.6,19.9,255.8,22.1,9,,2015-02-20T06:25:17,2015-02-20T18:18:25,0.04,Clear,Clear conditions throughout the day.,clear-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-21,31.3,20.5,25.8,33.9,20.5,26.7,21,76.2,0.1,100,4.17,rain,0,0,38.2,16.6,49.1,1011.9,16.7,19.4,245.6,21.2,8,,2015-02-21T06:24:56,2015-02-21T18:18:32,0.08,Rain,Clear conditions throughout the day with morning rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-22,30.9,21.6,25.9,33.3,21.6,26.7,21.3,77.1,0.2,100,8.33,rain,0,0,36.4,16.6,45.6,1012.3,13.7,20,233.6,20.1,8,,2015-02-22T06:24:36,2015-02-22T18:18:38,0.11,Rain,Clear conditions throughout the day with afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-23,31,21.4,26.1,33.7,21.4,27.1,21.6,77.4,0.3,100,12.5,rain,0,0,36.4,15.1,50.8,1012.7,65.6,20,198.7,17.1,7,,2015-02-23T06:24:14,2015-02-23T18:18:44,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-24,27.6,23.9,25.5,30.7,23.9,26.3,23,86.2,9.707,100,25,rain,0,0,32.8,13.7,63.4,1011.9,71,16.1,150.4,12.8,6,,2015-02-24T06:23:52,2015-02-24T18:18:49,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-25,29.8,23.5,26,34.5,23.5,27.4,23.5,86.8,0.902,100,8.33,rain,0,0,24.8,8.3,66.5,1010.7,66.9,18.4,174.9,15.1,7,,2015-02-25T06:23:29,2015-02-25T18:18:54,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-26,30.5,23.6,26.4,36.1,23.6,28.2,23.7,85.4,11.006,100,4.17,rain,0,0,27,10.4,102.2,1009.8,58.7,18.8,159,13.8,6,,2015-02-26T06:23:05,2015-02-26T18:18:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-27,31.8,23.1,26.3,35.7,23.1,27.7,23.3,84.4,1.612,100,4.17,rain,0,0,21.2,6.5,133.4,1010.3,71,19.7,223.7,19.3,7,,2015-02-27T06:22:41,2015-02-27T18:19:02,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-02-28,32.5,22.2,26.9,36.3,22.2,28.6,22.6,79.1,0.1,100,4.17,rain,0,0,20.2,9.7,100.2,1010.5,31.2,20,243,20.8,8,,2015-02-28T06:22:16,2015-02-28T18:19:05,0.31,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-01,32.3,24.1,27.4,36.8,24.1,29.3,23.4,79.9,0.6,100,25,rain,0,0,27.4,11.5,108.3,1010.9,27.4,20,222.6,19.4,8,,2015-03-01T06:21:51,2015-03-01T18:19:08,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-02,32.3,23.9,27.3,37.9,23.9,29.3,23.4,79.9,0.8,100,20.83,rain,0,0,28.8,12.2,88.9,1012,27.9,20,220.6,19.2,7,,2015-03-02T06:21:25,2015-03-02T18:19:10,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-03,32.8,22.7,27.4,35.4,22.7,28.7,22.3,75.7,0,0,0,,0,0,22.3,9.4,80.5,1011.4,10.3,20,261.7,22.8,9,,2015-03-03T06:20:59,2015-03-03T18:19:12,0.42,Clear,Clear conditions throughout the day.,clear-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-04,33.3,23.4,26.7,37.9,23.4,28.5,23.3,83.2,25.286,100,12.5,rain,0,0,24.1,8.3,168.2,1011.5,34.3,17.5,240.2,20.8,9,,2015-03-04T06:20:32,2015-03-04T18:19:14,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-05,32.8,22.9,27.6,40.2,22.9,30.3,23.6,80.2,0.5,100,20.83,rain,0,0,27.7,11.9,89.6,1011.9,24.2,20,250.7,21.7,9,,2015-03-05T06:20:04,2015-03-05T18:19:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-06,32.6,23.5,27.9,36.8,23.5,30.1,23.5,78.5,0.3,100,8.33,rain,0,0,31,12.2,78.9,1012.8,23,20,241.5,21,9,,2015-03-06T06:19:36,2015-03-06T18:19:15,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-07,32.4,22.7,27.3,35.7,22.7,28.9,22.5,76.4,0,0,0,,0,0,31.7,14.8,73.2,1012.7,19.9,20,267.5,23.1,9,,2015-03-07T06:19:08,2015-03-07T18:19:16,0.55,Clear,Clear conditions throughout the day.,clear-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-08,32.1,22.8,27.2,35.4,22.8,28.6,22.1,74.9,0.1,100,4.17,rain,0,0,32,13.7,87.3,1013.3,16.4,20.9,255.9,22.2,9,,2015-03-08T06:18:39,2015-03-08T18:19:16,0.59,Rain,Clear conditions throughout the day with afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-09,31.7,22.4,26.8,34.6,22.4,27.9,22.2,77.6,0.4,100,16.67,rain,0,0,31,13.7,69.2,1013.9,33.3,20,238.3,20.5,8,,2015-03-09T06:18:10,2015-03-09T18:19:15,0.62,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-10,31.4,21.7,26.4,33.9,21.7,27.2,21.1,74.8,0,0,0,,0,0,29.5,14,56,1013.7,24.6,19.5,261.3,22.5,9,,2015-03-10T06:17:40,2015-03-10T18:19:14,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-11,31.2,21.5,26.4,33.4,21.5,27.3,21.2,75,0,0,0,,0,0,38.9,16.9,63,1013.2,44.4,20,250.6,21.8,9,,2015-03-11T06:17:10,2015-03-11T18:19:13,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-12,31.8,22.9,26.7,37,22.9,28.8,23.3,82.2,1.001,100,4.17,rain,0,0,38.5,16.6,60.5,1012.9,52.1,18.6,207.8,17.8,8,,2015-03-12T06:16:40,2015-03-12T18:19:12,0.72,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-13,30.9,23.9,27,35.5,23.9,28.5,23.4,81.9,1.8,100,37.5,rain,0,0,36.7,16.6,72.1,1012.7,79,19.1,186.5,16,7,,2015-03-13T06:16:09,2015-03-13T18:19:10,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-14,30.8,24.3,26.3,36.5,24.3,27.7,23.7,85.7,3.223,100,16.67,rain,0,0,36.7,12.6,94.7,1014.1,84.3,18.3,151.8,13.2,8,,2015-03-14T06:15:38,2015-03-14T18:19:08,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
"Vavuniya, Sri Lanka",2015-03-15,30.8,23.3,26.1,36.2,23.3,27.5,23.8,87.9,29.572,100,25,rain,0,0,33.8,14,99.8,1014,79.4,17.5,225.1,19.6,8,,2015-03-15T06:15:07,2015-03-15T18:19:06,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43421099999,43415099999,43413099999,43422099999,remote,43418099999"
